tax_id	species	genus	family	order	class	phylum	superkingdom
25863	Amauroderma_omphalodes	Amauroderma	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25864	Amauroderma_yunnanense	Amauroderma	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25865	Amauroderma_camerarium	Amauroderma	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25866	Sanguinoderma_sp	Sanguinoderma	Ganodermataceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25867	Abundisporus_pubertatis	Abundisporus	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25868	Amauroderma_perplexum	Amauroderma	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25869	Cryptoporus_volvatus	Cryptoporus	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25870	Neolentinus_cyathiformis	Neolentinus	Gloeophyllaceae	Gloeophyllales	Agaricomycetes	Basidiomycota	Fungi
25871	Heliocybe_sulcata	Heliocybe	Gloeophyllaceae	Gloeophyllales	Agaricomycetes	Basidiomycota	Fungi
25872	Veluticeps_berkeleyi	Veluticeps	Gloeophyllaceae	Gloeophyllales	Agaricomycetes	Basidiomycota	Fungi
25873	Chaetospermum_artocarpi	Chaetospermum	Sebacinaceae	Sebacinales	Agaricomycetes	Basidiomycota	Fungi
25874	Chaetospermum_chaetosporum	Chaetospermum	Sebacinaceae	Sebacinales	Agaricomycetes	Basidiomycota	Fungi
25875	Cantharellus_macrocarpus	Cantharellus	Cantharellaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25876	Cantharellus_rhodophyllus	Cantharellus	Cantharellaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25877	Cantharellus_yunnanensis	Cantharellus	Cantharellaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25878	Cantharellus_betularum	Cantharellus	Cantharellaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25879	Cantharellus_friesii	Cantharellus	Cantharellaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25880	Cantharellus_flavolateritius	Cantharellus	Cantharellaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25881	Craterellus_melanoxeros	Craterellus	Cantharellaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25882	Craterellus_aureus	Craterellus	Cantharellaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25883	Craterellus_undulatus	Craterellus	Cantharellaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25884	Craterellus_indicus	Craterellus	Cantharellaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25885	Craterellus_cornucopioides	Craterellus	Cantharellaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25886	Tulasnella_deliquescens	Tulasnella	Tulasnellaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25887	Tulasnella_occidentalis	Tulasnella	Tulasnellaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25888	Clavariadelphus_griseoclavus	Clavariadelphus	Clavariadelphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25889	Clavariadelphus_griseoglaucus	Clavariadelphus	Clavariadelphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
25890	Clavariadelphus_unicolor	Clavariadelphus	Clavariadelphaceae	Gomphales	Agaricomycetes	Basidiomycota	Fungi
